ufn_names,simple_semsp_names,site_names,species_names,date_names,year_names,week_names,Acartia,Acartia_clausi,Acartia_longiremis,Actinopterygii_Egg,Actinopterygii_Larvae,Aetideus_divergens,Alienacanthomysis_macropsis,Ammodytes_hexapterus_Juvenile,Amphibalanus_improvisus_Cyprid,Amphipoda,Anomura_Zoea,Arachnida,Balanomorpha,Balanomorpha_Cyprid,Balanomorpha_Juvenile,Balanomorpha_Molt,Balanomorpha_Nauplii,Balanus_crenatus_Cyprid,Balanus_glandula_Cyprid,Brachyura_Megalopa,Brachyura_Zoea,Bryozoa_Larvae,Calanidae_Nauplii,Calanoida,Calanoida_Copepodite,Calanus,Calanus_marshallae,Calanus_pacificus,Cancer_Larvae,Cancer_oregonensis_Zoea,Cancer_productus_Zoea,Caprella,Caridea_Zoea,Centropages_abdominalis,Cnidaria,Copepoda,Corophiida,Coscinodiscophycidae,Crustacea,Ctenophora,Culicomorpha,Cumacea,Cyclopoida,Detritus,Digested_food,Digested_food_worms,Diptera,Ditrichocorycaeus_anglicus,Ditrichocorycaeus_anglicus_Copepodite,Echinodermata_Larvae,Epilabidocera_amphrites,Epilabidocera_amphrites_Copepodite,Eucalanus,Eucalanus_bungii,Eukrohnia_hamata,Eumalacostraca_Larvae,Euphausia_pacifica,Euphausiidae,Euphausiidae_Calyptopis,Euphausiidae_Egg,Euphausiidae_Furcilia,Euphausiidae_Nauplii,Evadne,Evadne_normanni,Evadne_tergestina,Harpacticoida,Harpacticus,Hemigrapsus_Larvae,Hyale,Hyperia,Hyperiidae,Hyperiidae_Juvenile,Hyperoche,Hyperoche_mediterranea,Hyperoche_medusarum,Insecta,Insecta_Larvae,Isopoda_Juvenile,Isopoda_Larvae,Kellia_suborbicularis_Veliger,Limacina_helicina,Lophopanopeus_bellus_Larvae,Mesocalanus_tenuicornis,Metridia,Microcalanus_pygmaeus_pusillus,Microsetella_rosea,Microstomus_pacificus_Egg,Monstrilla,Nannastacidae,Neocalanus_plumchrus,Neotrypaea_californiensis_Zoea,Objects,Oikopleura,Oncaea,Oregonia_gracilis_Larvae,Ostracoda,Paguridae_Zoea,Pandalidae_Zoea,Paracalanus_parvus,Parasites,Phaeophyceae,Pinnotheres_taylori_Zoea_I,Pinnotheridae_Zoea,Pleocyemata_Larvae,Pleocyemata_Zoea,Pleuronichthys_coenosus_Egg,Podon,Podon_leuckartii,Podon_polyphemoides,Podonidae,Polychaeta_Nectochaete,Porcellanidae_Zoea,Primno_macropa,Pseudocalanus,Pteropoda,Pteropoda_Egg,Pteropoda_Veliger,Pugettia_Megalopa,Sagittoidea,Sarsamphiascus,Semibalanus_balanoides_Cyprid,Senticaudata,Siphonophorae,Spionidae_Nectochaete,Themisto_pacifica,Tigriopus,Tisbe,Tomopteris,Tomopteris_septentrionalis,Tortanus_discaudatus,Total
U1190,D07-PI-5,D07,Pink,2015-05-21,2015,19-May,0,0,0,0,0,0,0,0,0.205761317,0,0,0,0,0.205761317,0,0,10.90534979,1.234567901,0.617283951,0,0.205761317,0.205761317,0,1.234567901,0,0,0,0,0,0,0,0,0,0.617283951,0,0,0,0.205761317,0,0,0,0,0,0,0,0,0,0.205761317,0,0.205761317,0,0,0,0,0,0,0,0,0,0.205761317,0,0,0,0.205761317,3.29218107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.36625514,0,0,0,0,0,0,0,0,0,0,0,0.823045267,0,0,0,0.205761317,1.646090535,0,0,0,0,0,0.205761317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U1386,D07-PI-2,D07,Pink,2015-05-21,2015,19-May,0,0,0,0,0,0,0,0,0.25974026,0,0,0,0,0.25974026,0.25974026,0,19.48051948,1.038961039,0.779220779,0,4.155844156,0.25974026,0,3.896103896,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25974026,33.76623377,0,0,0,0,0,12.98701299,0,0,0.25974026,0,0,0,0,0,0,0,0,0,0,0,0.25974026,0,0,0,0.25974026,3.896103896,0,0,0,0,0,0,0.25974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.376623377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.038961039,12.98701299,0,0,0,0,0,0.25974026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U1392,D07-PI-1,D07,Pink,2015-05-21,2015,19-May,0,0,0,0,0,0,0,0,0,0,0,0.578034682,0,0.963391137,0.192678227,0,28.32369942,1.734104046,7.899807322,0,1.348747592,0.192678227,0,2.697495183,0,0,0,0,0,0,0,0,0.963391137,2.504816956,0,0,0,0.192678227,40.8477842,0,0.770712909,0,0.192678227,0,0,0,4.816955684,0.192678227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192678227,0.385356455,0,0.192678227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192678227,3.082851638,0,0,0,0,0,0.192678227,0,0,0,0,0,0,1.348747592,0,0,0,0,0,0,0,100
U1394,D07-PI-3,D07,Pink,2015-05-21,2015,19-May,0,0,0,0,0.24691358,0,0,0,0.24691358,0,0,0,0,0.49382716,0.24691358,0,18.02469136,3.950617284,0.987654321,0,1.234567901,0,0,2.469135802,0,0,0,0.740740741,0,0,0,0,0,0.24691358,0,0,0,0.24691358,37.77777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24691358,5.185185185,0,0,0,0,0,0.24691358,0,0,0,0,0.24691358,0,0,0,0.24691358,0,0,0,0,0,0,0,0,0,0,0,0,0.24691358,0.24691358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24691358,25.92592593,0,0,0,0,0,0.24691358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U1395,D07-PI-6,D07,Pink,2015-05-21,2015,19-May,0,0,0,0,0,0,0,0,0.167785235,0,0,0,0,0.167785235,0.167785235,6.543624161,37.58389262,0.67114094,0.167785235,0,1.510067114,0.167785235,0,6.711409396,0,0,0,0.67114094,0,0,0,0,0,2.181208054,0,0,0,0.167785235,14.09395973,0,0.67114094,0,0,0,6.711409396,0,3.523489933,0.503355705,0,0,0,0,0,0,0,0,0,0,0,0.167785235,0.167785235,0,0,0.167785235,3.859060403,0,0,0,0,0,0.167785235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.342281879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.503355705,10.90604027,0,0,0,0,0,0.167785235,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167785235,100
U2528,D07-PI-7,D07,Pink,2015-05-21,2015,19-May,0,0,0,0,0,0,0,0,0.505050505,0,0,0,0.505050505,0.505050505,0.505050505,0,18.18181818,3.03030303,8.585858586,0,6.060606061,0.505050505,0,3.03030303,0,0,0,0,0,0,2.525252525,0,0,0,0,0,0,0.505050505,0.505050505,0,0,0,0,0,2.02020202,0,0,1.01010101,0,1.01010101,0,0,0,0,0,0,0,0,0,0.505050505,0,0,0,0.505050505,2.525252525,0,0,0,0,0,0,0,0,0,0,2.02020202,0,0.505050505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.80808081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505050505,1.515151515,9.090909091,0,2.02020202,0,0,0,0.505050505,0.505050505,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U2626,D07-CU-1,D07,Chum,2015-05-21,2015,19-May,0,0,0,0,0,0,0,93.57798165,0.039888313,0,0,0,0,0,0,0,0.039888313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039888313,0,0,0,0,0.039888313,0,0,0,0,0.039888313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119664938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.063023534,0,0,0,0,0,0,0.039888313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U2627,D07-CU-4,D07,Chum,2015-05-21,2015,19-May,0,0,0,0,0,0,0,0,0.189393939,0,0,0,0,0,0,93.18181818,0,0.189393939,0.189393939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.462121212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.893939394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.704545455,0,0,0,0,0,0,0.189393939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U2634,D07-CU-3,D07,Chum,2015-05-21,2015,19-May,0,0,0,0,0,0,0,0,0,0,0,0,0,1.754385965,0,0,0.701754386,0,0,0,0,0.350877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350877193,0,0,0,0,0,0.350877193,15.43859649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701754386,0,0,0,1.754385965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350877193,0,0,0,0,0,0,0,0,0,0,0,0.350877193,68.42105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.122807018,0,0,0,0,0,0.350877193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U2831,D07-CU-7,D07,Chum,2015-05-21,2015,19-May,0,0,0,0,0,0,0,0,0.227272727,0,0,0,0,0,0,0,0.454545455,0,0.227272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227272727,0,0,0,0,0,0,0,0,0,0,0.227272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.95454545,0,0,0.227272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227272727,0,0,0,0,0,0,0.227272727,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U2859,D07-PI-4,D07,Pink,2015-05-21,2015,19-May,0,0,0,0,0,0,0,0,0.429184549,0,0,0,0,1.287553648,0.429184549,0,33.9055794,1.716738197,5.150214592,0,0,0.429184549,0,7.725321888,0,0,0,0,0,0,0,0,0,0.429184549,0,0,0,0.429184549,21.45922747,0,0,0,0,0,0,0,0,0.858369099,0,0.429184549,0,0,0,0,0,0,0,0,0,0.429184549,0,0,0,0.429184549,2.575107296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429184549,0,0,0,0,0,0,0,0,0,0,0,0.429184549,0.429184549,0,0,0,0,0,0,0,0.429184549,0,0,1.287553648,0,2.145922747,0,0,0.429184549,15.87982833,0,0,0,0,0,0.429184549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U3007,D07-CU-9,D07,Chum,2015-05-21,2015,19-May,0,0,0,0,0,0,0,46.5205804,0.029612082,0,0,0.029612082,0.029612082,0,0,0.592241635,1.332543678,0.266508736,0,0,0.029612082,0.029612082,0,0,0.029612082,0,2.842759846,0.059224163,0,0,0,0,0,0,0,0,0,0.118448327,0,0,0,0,0,0,4.293751851,0,0.207284572,0,0,0,0,0,0,0,2.872371928,0,0,0,0.088836245,0.059224163,0,0,0,0.029612082,2.191294048,0,0,0.029612082,0.651465798,0,0,0.029612082,0,0,0,0,0,0,0,0.029612082,0,0,0,0,0,0,0,0,0,0,0.118448327,0.029612082,29.19751259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118448327,3.316553154,0,0,0,0.059224163,0,0,0.029612082,0,4.323363932,0,0,0.384957062,0,0.029612082,0,0,0,0,0,0,100
U4173,D07-CU-10,D07,Chum,2015-05-21,2015,19-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259067358,0,0,0,0,0,0,0.259067358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.735751295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259067358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.96891192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259067358,0.259067358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U4980,D07-CU-6,D07,Chum,2015-05-21,2015,19-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076804916,0,0,0.076804916,0,0,0,0,0,0,0,0,0,0,0.384024578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076804916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.69431644,0,0,0,0,0,0,0,0,0,0,0,0,0.460829493,0,0,0.076804916,0,0,0.076804916,0,0,0,0,0,0,0,0,0,0,0,0.076804916,0,0,0,0,0,0,100
U5450,J07-CU-5,J07,Chum,2015-06-02,2015,02-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.572739187,0,0,0,0,0,0,0,97.50982962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.917431193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U5451,J07-CU-2,J07,Chum,2015-06-02,2015,02-Jun,0.186567164,0,2.052238806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.768656716,1.305970149,0,0,0,0,0,0,87.68656716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U5452,J07-CU-6,J07,Chum,2015-06-02,2015,02-Jun,0,0,0.147492625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.08259587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.769911504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U5453,J07-CU-8,J07,Chum,2015-06-02,2015,02-Jun,0.241740532,0,1.531023368,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080580177,0.080580177,0,0,0,0,0,0,0,0.805801773,0.805801773,0.402900886,0,0,0,0,0,0,95.97099114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080580177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
U5454,J07-CU-1,J07,Chum,2015-06-02,2015,02-Jun,1.022494888,0,2.249488753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.88752556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102249489,0,0,0,0.102249489,0,0,0,0,0,0,0.102249489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.533742331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
